Date_Local,Hour_Local,Temp,Snow_Depth,Hourly_Snow,RH,Gust,Wind_Dir,Wind_Speed,Pres,Datetime_UTC
11/16/23,13,41.44,0.0,0.0007887,69.4,33.28,W,9.19,20.14176,2023-11-16 20:00:00+00:00
11/16/23,14,36.94,0.0,0.000866,70.1,34.47,W,9.0,20.147667,2023-11-16 21:00:00+00:00
11/16/23,15,32.9,0.0,0.000866,70.8,30.28,W,8.625,20.15062,2023-11-16 22:00:00+00:00
11/16/23,16,25.25,0.0,0.000866,76.6,21.95,N,6.29,20.147667,2023-11-16 23:00:00+00:00
11/16/23,17,24.34,0.0,0.0007887,73.4,4.707,ENE,2.486,20.171293,2023-11-17 00:00:00+00:00
11/16/23,18,18.5,0.0,0.0007887,65.0,9.336,SSE,1.533,20.165386,2023-11-17 01:00:00+00:00
11/16/23,19,14.91,0.0,0.0007887,61.8,13.62,W,2.002,20.162434,2023-11-17 02:00:00+00:00
11/16/23,20,13.55,0.0,0.0007887,62.9,13.1,W,3.033,20.171293,2023-11-17 03:00:00+00:00
11/16/23,21,13.11,0.0,0.0007887,64.3,13.96,W,3.273,20.180153,2023-11-17 04:00:00+00:00
11/16/23,22,18.5,0.0,0.0007887,70.5,16.33,WSW,3.914,20.174248,2023-11-17 05:00:00+00:00
11/16/23,23,16.25,0.0394,0.0007887,65.9,8.89,SW,3.736,20.180153,2023-11-17 06:00:00+00:00
11/17/23,0,14.0,0.0394,0.0007887,64.6,7.125,SSE,2.914,20.1772,2023-11-17 07:00:00+00:00
